"","Year","Produit intérieur brut (PIB)","Importations de biens et de services","Dépense de consommation finale","  ménages","  administrations publiques...6","Formation brute de capital fixe","  sociétés et entreprises individuelles non financières","  administrations publiques...9","  ménages hors entrepreneurs individuels","Exportations de biens et de services","Demande intérieure hors stocks","LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","Value","Flag.Codes"
"59",2008,2085.74497634882,588.996071167461,1599.14437799593,1086.64793936033,473.796102021811,497.819396259539,265.320766611311,84.0629503073088,129.290380545881,570.708048836751,2097.51303612239,"FRA","LTINT","TOT","PC_PA","A",4.234313,""
"60",2009,2025.8147370618,533.8975507071,1613.87217463925,1088.45856120264,485.206903374442,452.66827208512,234.011164636213,87.8672406651434,113.163578078059,508.511787898829,2067.30671492906,"FRA","LTINT","TOT","PC_PA","A",3.648808,""
"61",2010,2065.30716386702,581.374776892961,1641.32269543664,1107.8228211252,491.421043519032,462.088797554681,243.591806731587,87.0348152965742,114.849746884069,552.727983803791,2104.23151263561,"FRA","LTINT","TOT","PC_PA","A",3.117007,""
"62",2011,2110.59273721183,615.311949657646,1653.61610104772,1114.30156320082,496.591517217411,471.636134381322,253.111869436177,83.1666479243454,116.045405861265,587.903099303237,2125.93441873759,"FRA","LTINT","TOT","PC_PA","A",3.321058,""
"63",2012,2117.20236377443,616.544262231655,1656.70455371789,1109.12806076328,504.532394461473,472.727435281993,252.644017694408,84.7017311047705,113.579466922125,604.611891384208,2130.12312086403,"FRA","LTINT","TOT","PC_PA","A",2.535994,""
"64",2013,2129.40430205836,631.454517682259,1670.00919784356,1114.55130262994,511.967712649835,468.919261909811,253.036386120934,84.1386359762364,113.026228862172,617.554875848062,2139.56126055283,"FRA","LTINT","TOT","PC_PA","A",2.20434,""
"65",2014,2149.765,662.388,1686.181,1122.916,518.65,469.073,257.436,79.638,109.675,637.764,2156.164,"FRA","LTINT","TOT","PC_PA","A",1.666439,""
"66",2015,2173.69,701.456,1708.669,1139.31,523.87,473.877,265.776,75.948,108.012,667.394,2183.152,"FRA","LTINT","TOT","PC_PA","A",0.8418727,""
"67",2016,2197.50196064741,721.999626703805,1737.13566892678,1159.65640653903,531.243615380206,486.48171693251,273.553998748898,75.9591570400246,111.067271117995,679.246292197848,2224.24633904452,"FRA","LTINT","TOT","PC_PA","A",0.4678807,""
"68",2017,2247.17011275718,750.511451007582,1761.69548809694,1175.77297288892,539.006690399191,509.551024871137,286.373124848886,76.1878186383069,118.372368135441,705.443404100809,2271.8475197602,"FRA","LTINT","TOT","PC_PA","A",0.8105078,""
"69",2018,2285.93077486588,759.586648390238,1777.02726865146,1186.15713366284,543.346942975801,523.760312962613,297.351484435865,78.0251668538907,120.715310703194,729.908428212744,2301.38582499109,NA,NA,NA,NA,NA,NA,NA
