nace_r2,indic_sb,geo\time	2015 	2012 	2009 
B062,V15441,LU	0.0 	0.0 	0.0 
B062,V15441,LV	0.0 	0.0 	0.0 
B062,V15441,MT	0.0 	0.0 	0.0 
B062,V15441,NL	: c	: c	: c
B062,V15441,NO	0.0 	: c	: c
B062,V15441,PL	: cd	: 	0.0 d
B062,V15441,PT	0.0 	0.0 	0.0 
B062,V15441,RO	: c	: c	: c
B062,V15441,SI	: c	0.0 	: c
B062,V15441,SK	0.0 	0.0 	: c
B062,V15441,UK	: c	0.0 	: c
B0620,V15420,AT	0.0 	0.0 	0.0 
B0620,V15420,BE	0.0 	0.0 	0.0 
B0620,V15420,BG	: c	: c	0.0 
B0620,V15420,CY	0.0 	0.0 	0.0 
B0620,V15420,CZ	: c	: c	: c
B0620,V15420,DE	: c	0.0 	: c
B0620,V15420,EE	0.0 	0.0 	0.0 
B0620,V15420,EL	: b	: 	: 
B0620,V15420,ES	: c	: c	: c
B0620,V15420,FI	0.0 	0.0 	0.0 
B0620,V15420,HR	: c	: c	: c
B0620,V15420,HU	0.0 	0.0 	0.0 
B0620,V15420,IE	: c	: c	: c
B0620,V15420,IT	0.0 	0.0 	: c
B0620,V15420,LT	0.0 	0.0 	0.0 
B0620,V15420,LU	0.0 	0.0 	0.0 
B0620,V15420,LV	0.0 	0.0 	0.0 
B0620,V15420,MT	0.0 	0.0 	0.0 
B0620,V15420,NL	: c	: c	: c
B0620,V15420,NO	: 	: c	: c
B0620,V15420,PL	: cd	: 	0.0 d
B0620,V15420,PT	0.0 	0.0 	0.0 
B0620,V15420,RO	: c	: c	: c
B0620,V15420,SI	: c	0.0 	: c
B0620,V15420,SK	0.0 	0.0 	: c
B0620,V15420,UK	: c	0.0 	0.0 
B0620,V15441,AT	0.0 	0.0 	0.0 
B0620,V15441,BE	0.0 	0.0 	0.0 
B0620,V15441,BG	0.0 	0.0 	0.0 
B0620,V15441,CY	0.0 	0.0 	0.0 
B0620,V15441,CZ	: c	: c	: c
B0620,V15441,DE	5.3 	: c	: c
B0620,V15441,DK	: u	: 	: 
B0620,V15441,EE	0.0 	0.0 	0.0 
B0620,V15441,EL	: b	: 	: 
B0620,V15441,ES	: c	: c	: c
B0620,V15441,FI	0.0 	0.0 	0.0 
B0620,V15441,HR	: c	: c	: c
B0620,V15441,HU	0.0 	0.0 	0.5 
B0620,V15441,IE	: c	: c	: c
